mac,mac_vendor,mac_vendor_address,mac_vendor_address2,mac_vendor_country
"20:91:48*","Texas Instruments","12500 TI BLVD","Dallas    75243","US"
"d0:b5:c2*","Texas Instruments","12500 TI BLVD","Dallas    75243","US"
"f8:a4:5f*","Xiaomi Communications Co Ltd","The Rainbow City of China Resources,NO 68,Qinghe Middle Street,Haidian District,Beijing,China 100085","Beijing  Beijing  100085","CN"
"8c:be:be*","Xiaomi Communications Co Ltd","The Rainbow City of China Resources,","Haidian District  Beijing  100085","CN"
"64:09:80*","Xiaomi Communications Co Ltd","Xiaomi Building, No.68 Qinghe Middle Street","Beijing  Beijing  100085","CN"
"98:fa:e3*","Xiaomi Communications Co Ltd","Office Building,The Rainbow City of China Resources, NO.68,Qinghe Middle Street,Haidian District,Beijing,China,100085","Beijing  Beijing  100085","CN"
"18:59:36*","Xiaomi Communications Co Ltd","The Rainbow city of China Resource,NO.68,Qinghe Middle street,Haidian District,Beijing,Chian.","Beijing  Beijing  100085","CN"
"9c:99:a0*","Xiaomi Communications Co Ltd","The Rainbow city of China Resource,NO.68,Qinghe Middle street,Haidian District,Beijing,Chian.","Beijing  Beijing  100085","CN"
"00:02:c7*","ALPS ELECTRIC CO.,LTD.","1-2-1, Okinouchi, Sama-City,","Sama    00000","JP"
"04:76:6e*","ALPS ELECTRIC CO.,LTD.","6-3-36 Furukawanakazato,","Osaki  Miyagi-pref  989-6181","JP"
"00:10:ff*","Cisco Systems, Inc","170 WEST TASMAN DRIVE","SAN JOSE  CA  95134-1706","US"
"34:bd:c8*","Cisco Systems, Inc","170 West Tasman Drive","San Jose  CA  95134","US"
"54:a2:74*","Cisco Systems, Inc","170 West Tasman Drive","San Jose  CA  95134","US"
"58:97:bd*","Cisco Systems, Inc","170 West Tasman Drive","San Jose  CA  95134","US"
"84:b8:02*","Cisco Systems, Inc","170 West Tasman Drive","San Jose  CA  95134","US"
"bc:c4:93*","Cisco Systems, Inc","170 West Tasman Drive","San Jose  CA  95134","US"
"00:19:47*","Cisco SPVTG","5030 Sugarloaf Parkway","Lawrenceville  GA  30044","US"
"00:22:ce*","Cisco SPVTG","5030 Sugarloaf Parkway","Lawrenceville  GA  30042","US"
"00:12:17*","Cisco-Linksys, LLC","121 Theory Dr.","Irvine  CA  92612","US"
"00:0c:41*","Cisco-Linksys, LLC","121 Theory Dr.","Irvine  CA  92612","US"
"00:0f:66*","Cisco-Linksys, LLC","121 Theory Dr.","Irvine  CA  92612","US"
"44:e0:8e*","Cisco SPVTG","5030 Sugarloaf Parkway","Lawrenceville  GA  30044","US"
"18:59:33*","Cisco SPVTG","5030 Sugarloaf Parkway","Lawrenceville  GA  30044","US"
"e4:48:c7*","Cisco SPVTG","5030 Sugarloaf Pkwy","Lawrenceville  GA  30044","US"
"24:76:7d*","Cisco SPVTG","5030 Sugarloaf Pkwy","Lawrenceville  GA  30044","US"
"2c:ab:a4*","Cisco SPVTG","5030 Sugarloaf Parkway","Lawrenceville  GA  30044","US"
"88:f0:31*","Cisco Systems, Inc","170 West Tasman Drive","San Jose  CA  95134","US"
"50:87:89*","Cisco Systems, Inc","170 West Tasman Drive","San Jose  CA  95134","US"
"38:1c:1a*","Cisco Systems, Inc","170 West Tasman Drive","San Jose  CA  95134","US"
"f4:0f:1b*","Cisco Systems, Inc","170 West Tasman Drive","San Jose  CA  95134","US"
"bc:67:1c*","Cisco Systems, Inc","170 West Tasman Drive","San Jose  CA  95134","US"
"a0:ec:f9*","Cisco Systems, Inc","170 West Tasman Drive","San Jose  CA  95134","US"
"d4:6d:50*","Cisco Systems, Inc","170 West Tasman Drive","San Jose  CA  95134","US"
"1c:e8:5d*","Cisco Systems, Inc","170 West Tasman Drive","San Jose  CA  95134","US"
"c4:72:95*","Cisco Systems, Inc","170 West Tasman Drive","San Jose  CA  95134","US"
"a0:55:4f*","Cisco Systems, Inc","170 West Tasman Drive","San Jose  CA  95134","US"
"00:03:dd*","Comark Interactive Solutions","93 West St.","Medfield  MA  02052","US"
"00:10:7b*","Cisco Systems, Inc","170 W.TASMAN DR.-SJA-2","SAN JOSE  CA  95134-1706","US"
"00:90:6d*","Cisco Systems, Inc","80 West Tasman Drive","San Jose  CA  94568","US"
"00:90:bf*","Cisco Systems, Inc","80 West Tasman Drive","San Jose  CA  94568","US"
"00:50:80*","Cisco Systems, Inc","170 W. TASMAN DR.","SAN JOSE  CA  95134-1706","US"
"00:90:f2*","Cisco Systems, Inc","170 W. TASMAN DR.","SAN JOSE  CA  95134-1706","US"
"f0:29:29*","Cisco Systems, Inc","170 West Tasman Drive","San Jose  CA  95134","US"
"ec:e1:a9*","Cisco Systems, Inc","170 West Tasman Drive","San Jose  CA  95134","US"
"7c:69:f6*","Cisco Systems, Inc","170 West Tasman Drive","San Jose  CA  95134","US"
"c0:8c:60*","Cisco Systems, Inc","170 West Tasman Drive","San Jose  CA  95134","US"
"c0:25:5c*","Cisco Systems, Inc","170 West Tasman Drive","San Jose  CA  95134","US"
"88:5a:92*","Cisco Systems, Inc","170 West Tasman Drive","San Jose  CA  95134","US"
"e4:c7:22*","Cisco Systems, Inc","170 West Tasman Drive","San Jose  CA  95134","US"
"c0:7b:bc*","Cisco Systems, Inc","170 West Tasman Drive","San Jose  CA  95134","US"
"00:50:94*","Pace plc","VICTORIA RD, SALTAIRE","dddd    ENGLAND","GB"
"04:6c:9d*","Cisco Systems, Inc","170 West Tasman Drive","San Jose  CA  95134","US"
"60:fe:c5*","Apple, Inc.","1 Infinite Loop","Cupertino  CA  95014","US"
"00:a0:40*","Apple, Inc.","1 Infinite Loop","CUPERTINO  CA  95014","US"
"00:0d:93*","Apple, Inc.","1 Infinite Loop","CUPERTINO  CA  95014","US"
"00:1c:b3*","Apple, Inc.","1 Infinite Loop","CUPERTINO  CA  95014","US"
"00:17:3b*","Cisco Systems, Inc","170 West Tasman Dr.","San Jose  CA  95134-1706","US"
"00:40:0b*","Cisco Systems, Inc","170 WEST TASMAN DRIVE","SAN JOSE  CA  95134-1706","US"
"00:60:09*","Cisco Systems, Inc","170 WEST TASMAN DRIVE","SAN JOSE  CA  95134-1706","US"
"00:60:47*","Cisco Systems, Inc","170 WEST TASMAN DRIVE","SAN JOSE  CA  95134-1706","US"
"00:06:c1*","Cisco Systems, Inc","170 WEST TASMAN DRIVE","SAN JOSE  CA  95134-1706","US"
"00:e0:14*","Cisco Systems, Inc","170 WEST TASMAN DRIVE","SAN JOSE  CA  95134-1706","US"
"00:e0:1e*","Cisco Systems, Inc","170 WEST TASMAN DRIVE","SAN JOSE  CA  95134-1706","US"
"ac:f2:c5*","Cisco Systems, Inc","170 West Tasman Drive","San Jose  CA  95134","US"
"34:36:3b*","Apple, Inc.","1 Infinite Loop","Cupertino  CA  95014","US"
"c8:1e:e7*","Apple, Inc.","1 Infinite Loop","Cupertino  CA  95014","US"
"9c:fc:01*","Apple, Inc.","1 Infinite Loop","Cupertino  CA  95014","US"
"cc:c7:60*","Apple, Inc.","1 Infinite Loop","Cupertino  CA  95014","US"
"08:74:02*","Apple, Inc.","1 Infinite Loop","Cupertino  CA  95014","US"
"28:5a:eb*","Apple, Inc.","1 Infinite Loop","Cupertino  CA  95014","US"
"28:f0:76*","Apple, Inc.","1 Infinite Loop","Cupertino  CA  95014","US"
"84:28:5a*","Saffron Solutions Inc","1337 Mass Ave #273","Arlington  MA  02476","US"
"80:a1:ab*","Intellisis","10350 Science Center Dr","San Diego  CA  92121","US"
"cc:79:cf*","Shenzhen RF-LINK Elec&Technology Co.Ltd","Bldg56A,6/F,Baotian Rd3,Xixiang Town,Baoan District,Shenzhen,P.R.C","ShenZhen  Guangdong  518000","CN"
"44:d8:84*","Apple, Inc.","1 Infinite Loop","CUPERTINO  CA  95014","US"
"ec:85:2f*","Apple, Inc.","1 Infinite Loop","CUPERTINO  CA  95014","US"
"28:6a:ba*","Apple, Inc.","1 Infinite Loop","CUPERTINO  CA  95014","US"
"70:56:81*","Apple, Inc.","1 Infinite Loop","CUPERTINO  CA  95014","US"
"7c:d1:c3*","Apple, Inc.","1 Infinite Loop","CUPERTINO  CA  95014","US"
"f0:dc:e2*","Apple, Inc.","1 Infinite Loop","CUPERTINO  CA  95014","US"
"b0:65:bd*","Apple, Inc.","1 Infinite Loop","CUPERTINO  CA  95014","US"
"a8:20:66*","Apple, Inc.","1 Infinite Loop","CUPERTINO  CA  95014","US"
"bc:67:78*","Apple, Inc.","1 Infinite Loop","CUPERTINO  CA  95014","US"
"68:96:7b*","Apple, Inc.","1 Infinite Loop","CUPERTINO  CA  95014","US"
"84:85:06*","Apple, Inc.","1 Infinite Loop","CUPERTINO  CA  95014","US"
"b4:f0:ab*","Apple, Inc.","1 Infinite Loop","CUPERTINO  CA  95014","US"
"10:dd:b1*","Apple, Inc.","1 Infinite Loop","CUPERTINO  CA  95014","US"
"04:f7:e4*","Apple, Inc.","1 Infinite Loop","CUPERTINO  CA  95014","US"
"34:c0:59*","Apple, Inc.","1 Infinite Loop","CUPERTINO  CA  95014","US"
"f0:d1:a9*","Apple, Inc.","1 Infinite Loop","CUPERTINO  CA  95014","US"
"bc:3b:af*","Apple, Inc.","1 Infinite Loop","CUPERTINO  CA  95014","US"
"78:6c:1c*","Apple, Inc.","1 Infinite Loop","CUPERTINO  CA  95014","US"
"04:15:52*","Apple, Inc.","1 Infinite Loop","CUPERTINO  CA  95014","US"
"38:48:4c*","Apple, Inc.","1 Infinite Loop","CUPERTINO  CA  95014","US"
"70:11:24*","Apple, Inc.","1 Infinite Loop","CUPERTINO  CA  95014","US"
"c8:6f:1d*","Apple, Inc.","1 Infinite Loop","CUPERTINO  CA  95014","US"
"68:5b:35*","Apple, Inc.","1 Infinite Loop","CUPERTINO  CA  95014","US"
"38:0f:4a*","Apple, Inc.","1 Infinite Loop","CUPERTINO  CA  95014","US"
"30:10:e4*","Apple, Inc.","1 Infinite Loop","Cupertino  CA  95014","US"
"04:db:56*","Apple, Inc.","1 Infinite Loop","Cupertino  CA  95014","US"
"88:1f:a1*","Apple, Inc.","1 Infinite Loop","CUPERTINO  CA  95014","US"
"04:e5:36*","Apple, Inc.","1 Infinite Loop","CUPERTINO  CA  95014","US"
"f8:27:93*","Apple, Inc.","1 Infinite Loop","Cupertino  CA  95014","US"
"ac:fd:ec*","Apple, Inc.","1 Infinite Loop","Cupertino  CA  95014","US"
"d0:e1:40*","Apple, Inc.","1 Infinite Loop","Cupertino  CA  95014","US"
"f8:32:e4*","ASUSTek COMPUTER INC.","15,Li-Te Rd., Peitou, Taipei 112, Taiwan","Taipei  Taiwan  112","TW"
"8c:7c:92*","Apple, Inc.","1 Infinite Loop","Cupertino  CA  95014","US"
"78:31:c1*","Apple, Inc.","1 Infinite Loop","Cupertino  CA  95014","US"
"f4:37:b7*","Apple, Inc.","1 Infinite Loop","Cupertino  CA  95014","US"
"54:ae:27*","Apple, Inc.","1 Infinite Loop","Cupertino  CA  95014","US"
"64:76:ba*","Apple, Inc.","1 Infinite Loop","Cupertino  CA  95014","US"
"84:b1:53*","Apple, Inc.","1 Infinite Loop","Cupertino  CA  95014","US"
"78:3a:84*","Apple, Inc.","1 Infinite Loop","Cupertino  CA  95014","US"
"7c:f0:5f*","Apple, Inc.","1 Infinite Loop","CUPERTINO  CA  95014","US"
"a4:b1:97*","Apple, Inc.","1 Infinite Loop","CUPERTINO  CA  95014","US"
"0c:74:c2*","Apple, Inc.","1 Infinite Loop","CUPERTINO  CA  95014","US"
"40:30:04*","Apple, Inc.","1 Infinite Loop","CUPERTINO  CA  95014","US"
"48:60:bc*","Apple, Inc.","1 Infinite Loop","CUPERTINO  CA  95014","US"
"50:ea:d6*","Apple, Inc.","1 Infinite Loop","CUPERTINO  CA  95014","US"
"28:e0:2c*","Apple, Inc.","1 Infinite Loop","CUPERTINO  CA  95014","US"
"60:c5:47*","Apple, Inc.","1 Infinite Loop","CUPERTINO  CA  95014","US"
"7c:11:be*","Apple, Inc.","1 Infinite Loop","CUPERTINO  CA  95014","US"
"00:3e:e1*","Apple, Inc.","1 Infinite Loop","CUPERTINO  CA  95014","US"
"f4:4b:2a*","Cisco SPVTG","5030 Sugarloaf Parkway","Lawrenceville  GA  30044","US"
"2c:be:08*","Apple, Inc.","1 Infinite Loop","Cupertino  CA  95014","US"
"24:e3:14*","Apple, Inc.","1 Infinite Loop","Cupertino  CA  95014","US"
"68:d9:3c*","Apple, Inc.","1 Infinite Loop","Cupertino  CA  95014","US"
"2c:f0:ee*","Apple, Inc.","1 Infinite Loop","Cupertino  CA  95014","US"
"84:78:8b*","Apple, Inc.","1 Infinite Loop","Cupertino  CA  95014","US"
"6c:94:f8*","Apple, Inc.","1 Infinite Loop","Cupertino  CA  95014","US"
"70:3e:ac*","Apple, Inc.","1 Infinite Loop","Cupertino  CA  95014","US"
"c0:1a:da*","Apple, Inc.","1 Infinite Loop","Cupertino  CA  95014","US"
"64:b9:e8*","Apple, Inc.","1 Infinite Loop","CUPERTINO  CA  95014","US"
"34:15:9e*","Apple, Inc.","1 Infinite Loop","CUPERTINO  CA  95014","US"
"58:b0:35*","Apple, Inc.","1 Infinite Loop","CUPERTINO  CA  95014","US"
"f0:b4:79*","Apple, Inc.","1 Infinite Loop","CUPERTINO  CA  95014","US"
"10:9a:dd*","Apple, Inc.","1 Infinite Loop","CUPERTINO  CA  95014","US"
"40:a6:d9*","Apple, Inc.","1 Infinite Loop","CUPERTINO  CA  95014","US"
"e8:34:3e*","Beijing Infosec Technologies Co., LTD.","Floor 4, Tower C, Global Finance and News Center","Beijing  Beijing  100052","CN"
"a8:47:4a*","Hon Hai Precision Ind. Co.,Ltd.","Building D21,No.1, East Zone 1st Road","Chongqing  401332","CN"
"c4:ad:f1*","GOPEACE Inc.","Woolim Bldg B-916, 14 Sagimakgol-ro 45beon-gil, Jungwon-gu","Seongnam  Gyeonggi  13209","KR"
"58:f4:96*","Source Chain","#407-4 eBIZ.Center","Seoul  seoul  ASI|KR|KS013|SEOUL","KR"
"80:b7:09*","Viptela, Inc","1740 Technology Drive, Ste#500","San Jose  California  95110","US"
"0c:1a:10*","Acoustic Stream","3213 W Wheeler Street","Seattle  WA  98199","US"
"dc:dc:07*","TRP Systems BV","Televisieweg 159 1322 BH  Almere","Almere  -  -","NL"
"08:0a:4e*","Planet Bingo® — 3rd Rock Gaming®","75190 Gerald Ford Dr.","Palm Desert  CA  92211","US"
"3c:8c:f8*","TRENDnet, Inc.","20675 Manhattan Place","Torrance  CA  90501","US"
"78:d6:b2*","Toshiba","2-9,Suehiro-Cho","Ome  Tokyo  1988710","JP"
"3c:a3:48*","vivo Mobile Communication Co., Ltd.","#283,BBK Road","Wusha,Chang'An  DongGuan City,Guangdong,  523860","CN"
"ec:9b:f3*","Samsung Electro Mechanics co., LTD.","93Moo5T. Bangsamak","Bangpakong  Chachoengsao  24180","TH"
"88:94:7e*","Fiberhome Telecommunication Technologies Co.,LTD","No.5 DongXin Road","Wuhan  Hubei  430074","CN"
"88:c2:42*","Poynt Co.","490 S. California Avenue","Palo Alto  California  94306","US"
"94:b1:0a*","Samsung Electronics Co.,Ltd","#94-1,Imsoo-Dong","Gumi  Gyeongbuk  730-350","KR"
"1c:60:de*","SHENZHEN MERCURY COMMUNICATION TECHNOLOGIES CO.,LTD.","Mid-Fourth Flr.,Building 28,Cui Xi Fourth Road,Ke Yuan West,Nanshan","Shenzhen  Guangdong  518057","CN"
"74:18:65*","Shanghai DareGlobal Technologies Co.,Ltd","22F NO.1555 Kongjiang RD","Shanghai  200092","CN"
"00:84:ed*","Private","","",""
"d8:48:ee*","Hangzhou Xueji Technology Co., Ltd.","Room 1902, Tower D, West Intime City","Hangzhou  Zhejiang  310012","CN"
"28:fa:a0*","vivo Mobile Communication Co., Ltd.","#283,BBK Road","Wusha,Chang'An  DongGuan City,Guangdong,  523860","CN"
"e4:a3:87*","Control Solutions LLC","2520 Diehl Rd","Aurora  IL  60502","US"
"f4:42:8f*","Samsung Electronics Co.,Ltd","#94-1,Imsoo-Dong","Gumi  Gyeongbuk  730-350","KR"
"08:8c:2c*","Samsung Electronics Co.,Ltd","#94-1,Imsoo-Dong","Gumi  Gyeongbuk  730-350","KR"
"dc:82:f6*","iPort","236 Calle Pintoresco","San Clemente  CA  92672","US"
"c4:9e:41*","G24 Power Limited","South Lake Drive","Newport  Gwent  NP10 8AS","GB"
"e4:58:b8*","Samsung Electronics Co.,Ltd","#94-1,Imsoo-Dong","Gumi  Gyeongbuk  730-350","KR"
"14:13:57*","ATP Electronics, Inc.","2590 North First Street Suite 150","San Jose  CA  95131","US"
"fc:52:8d*","Technicolor CH USA Inc.","101 West 103rd St.","Indianapolis  IN  46290","US"
"c4:9f:f3*","Mciao Technologies, Inc.","Room304, Building 1, No.288 Qiuyi Rd., Binjiang District","Hangzhou  Zhejiang  310052","CN"
"80:73:9f*","KYOCERA Corporation","2-1-1 Kagahara","Yokohama-shi  Kanagawa  224-8502","JP"
"14:91:82*","Belkin International Inc.","12045 E. Waterfront Drive","Playa Vista  CA  90094","US"
"7c:2b:e1*","Shenzhen Ferex Electrical Co.,Ltd","Block 2,Jiuzhou Industrial Park,Gongming","Shenzhen  Guangdong  518107","CN"
"30:ff:f6*","HangZhou KuoHeng Technology Co.,ltd","No.368,Wangjiali,Chang'ancun Industrial Park,Wenyan Town, Xiaoshan District, Hangzhou, CHina","HangZhou  ZheJiang  311258","CN"
"58:53:c0*","Beijing Guang Runtong Technology Development Company co.,Ltd","Beijing city Haidian District North Third Ring Road 48, Beijing science and Technology Exhibition Center 1 building B block, room 18H","Beijing  Bejing  100000","CN"
"50:31:ad*","ABB Global Industries and Services Private Limited","21st floor, World Trade Center","Bangalore  Karnataka  560055","IN"
"2c:a5:39*","Parallel Wireless, Inc","1 Tara Blvd","Nashua  NH  03062","US"
"c0:4a:09*","Zhejiang Everbright Communication Equip. Co,. Ltd","291# Wei 19th Rd.","Wenzhou  Zhejiang  325600","CN"
"f0:0d:5c*","JinQianMao  Technology Co.,Ltd.","58#,Jiangbin Road,Taijiang District","Fuzhou  Fujian  350009","CN"
"2c:08:1c*","OVH","2, rue Kellermann","Roubaix  Nord  59100","FR"
"30:e0:90*","Linctronix Ltd,","​9F-1, No.66, Chongqing Rd.,","Banqiao Dist.,  China  22063","TW"
"70:bf:3e*","Charles River Laboratories","1023 Wappoo Road Suite 43B","Charleston  SC  29407","US"
"64:5d:92*","SICHUAN TIANYI COMHEART TELECOMCO.,LTD","FL12,TowerB,Tianyi international Hotel,No.2 West Section One, Second Ring Road, Chengdu, Sichuan","Chengdu  Sichuan  610000","CN"
"a8:c8:7f*","Roqos, Inc.","1775 Greensboro Station Place","Mclean  Virginia  22102","US"
"c0:25:a2*","NEC Platforms, Ltd.","2-3 Kandatsukasamachi","Chiyodaku  Tokyo  101-8532","JP"
"78:53:f2*","ROXTON Ltd.","15 Ostapovsky proezd","Moscow  Moscow  109316","RU"
"dc:3c:f6*","Atomic Rules LLC","287 Chester Rd","Auburn  NH  03032","US"
"44:1c:a8*","Hon Hai Precision Ind. Co.,Ltd.","Building D21,No.1, East Zone 1st Road","Chongqing  401332","CN"
"c4:04:7b*","Shenzhen YOUHUA Technology Co., Ltd","Shenzhen University-town Business Park,Lishan Road,Taoyuan Street","Shenzhen  Guangdong  518055","CN"
"1c:49:7b*","Gemtek Technology Co., Ltd.","No. 1 Jen Ai Road Hsinchu Industrial Park Hukou, Hsinchu 30352 TAIWAN, REPUBLIC OF CHINA","Hsinchu  TAIWAN  30352","TW"
"54:ff:82*","Davit Solution co.","103-301,Geudaegapremier,21 Deagyeong-Daero 1484beon-Gil","Suwon-Si  Gyeonggi-Do  KS002","KR"
"d4:45:e8*","Jiangxi Hongpai Technology Co., Ltd.","5th Floor,C Region, Zhejiang University Science Park,No. 698,","Nanchang  Jiangxi  330096","CN"
"38:2d:e8*","Samsung Electronics Co.,Ltd","#94-1, Imsoo-Dong","Gumi  Gyeongbuk  730-350","KR"
"84:79:73*","Shanghai Baud Data Communication Co.,Ltd.","NO.123 JULI RD","PUDONG ZHANGJIANG HIGH-TECH PARK  SHANGHAI  201203","CN"
"d0:87:e2*","Samsung Electronics Co.,Ltd","#94-1, Imsoo-Dong","Gumi  Gyeongbuk  730-350","KR"
"20:55:31*","Samsung Electronics Co.,Ltd","#94-1, Imsoo-Dong","Gumi  Gyeongbuk  730-350","KR"
"90:6f:18*","Private","","",""
"fc:33:5f*","Polyera","8045 Lamon Avenue","Skokie  IL  60077","US"
"fc:c2:33*","Private","","",""
"24:5b:f0*","Liteon, Inc.","3001 Summit Avenue, Suite 400","Plano  Tx  75074","US"
"fc:fe:c2*","Invensys Controls UK Limited","401 Southway Drive","Plymouth  Devon  Pl6 6QT","GB"
"e8:f2:e2*","LG Innotek","26, Hanamsandan 5beon-ro","Gwangju  Gwangsan-gu  506-731","KR"
"ac:67:6f*","Electrocompaniet A.S.","Breivikveien 7","Tau  Rogaland  4120","NO"
"88:1b:99*","SHENZHEN XIN FEI JIA ELECTRONIC CO. LTD.","#4 BULIDING, HIGH TECH INDUSTRIAL PARK, HE PING COMMUNITY","GUANGDONG  N/A  518000","CN"
"68:12:95*","Lupine Lighting Systems GmbH","Winnberger Weg 11","Neumarkt  Bavaria  92318","DE"
"64:9a:12*","P2 Mobile Technologies Limited","Unit 708, 7/F, Bio-Informatics Centre, No.2 Science Park West Avenue,","Hong Kong  Hong Kong  00000","HK"
"c8:a9:fc*","Goyoo Networks Inc.","Building D, Kelin Blocks, No.107, Dongsi North St,","Beijing  Beijing  100007","CN"
"c0:11:73*","Samsung Electronics Co.,Ltd","#94-1, Imsoo-Dong","Gumi  Gyeongbuk  730-350","KR"
"bc:e6:3f*","Samsung Electronics Co.,Ltd","#94-1, Imsoo-Dong","Gumi  Gyeongbuk  730-350","KR"
"b8:57:d8*","Samsung Electronics Co.,Ltd","#94-1, Imsoo-Dong","Gumi  Gyeongbuk  730-350","KR"
"38:4c:90*","ARRIS Group, Inc.","6450 Sequence Drive","San Diego  CA  92121","US"
"ac:bc:32*","Apple, Inc.","1 Infinite Loop","Cupertino  CA  95014","US"
